stock_code,code,date_yyyymmdd,engine,A_SIG,B_SIG,C_SIG,target_pct,risk_pct_display,fail_price,engine_code,satellite,yield_to_AB,entry_price,risk_budget,exit_reason
002343.SZ,002343,20250807,B,0,1,0,20.0,5.7467144563918655,7.889,2,0,0,8.37,0.025,首回踩失效
600259.SH,600259,20250807,B,0,1,0,20.0,7.4166932143994835,58.1238,2,0,0,62.78,0.025,证明后结构回吐
002533.SZ,002533,20250808,B,0,1,0,20.0,7.0967153284671625,10.1822,2,0,0,10.96,0.025,证明后结构回吐
002600.SZ,002600,20250811,A,1,0,0,20.0,11.605984177283402,8.724489361702128,1,0,0,9.87,0.025,高成熟成本停滞
300559.SZ,300559,20250811,A,1,0,0,18.583173735972295,13.453030335505268,11.216487268518518,1,0,0,12.96,0.025,高成熟成本停滞
300002.SZ,300002,20250812,A,1,0,0,15.419905716785804,16.212809895968107,11.646419424460433,1,0,0,13.9,0.025,滞败
002533.SZ,002533,20250813,A,1,0,0,18.91667818156696,13.215850986121247,9.633040540540541,1,0,0,11.1,0.025,滞败
300420.SZ,300420,20250813,A,1,0,0,14.719650733729523,16.98409863945579,3.486667857142857,1,0,0,4.2,0.025,高成熟成本停滞
300579.SZ,300579,20250813,B,0,1,0,19.067967834484968,13.11099337748346,32.800599999999996,2,0,0,37.75,0.025,首回踩失效
300618.SZ,300618,20250813,A,1,0,0,20.0,10.879725177280008,33.71419996543497,1,0,0,37.83,0.025,高成熟成本停滞
300724.SZ,300724,20250813,B,0,1,0,20.0,6.866388308977045,62.4554,2,0,0,67.06,0.025,证明后结构回吐
600601.SH,600601,20250813,C,0,0,1,11.457839886309802,13.091472868217057,5.6056,3,1,1,6.45,0.015,MA20破坏
002747.SZ,002747,20250814,A,1,0,0,15.903314178468179,15.719993782080977,20.07549748110831,1,0,0,23.82,0.025,高成熟成本停滞
600986.SH,600986,20250814,C,0,0,1,11.547600190083944,12.98971193415639,8.4574,3,1,1,9.72,0.015,MA20破坏
002922.SZ,002922,20250815,A,1,0,0,17.39006077940652,14.376027960526304,15.617812500000001,1,0,0,18.24,0.025,高成熟成本停滞
300113.SZ,300113,20250815,A,1,0,0,20.0,11.350701664430895,19.33441196698762,1,0,0,21.81,0.025,高成熟成本停滞
300222.SZ,300222,20250815,A,1,0,0,20.0,8.812175439625925,10.240392698130009,1,0,0,11.23,0.025,高成熟成本停滞
300443.SZ,300443,20250815,A,1,0,0,17.5511707917959,14.244063998104316,21.344652470871836,1,0,0,24.89,0.025,高成熟成本停滞
000032.SZ,000032,20250818,A,1,0,0,14.264781659935256,17.52568009520692,20.230950672645744,1,0,0,24.53,0.025,趋势破坏
000977.SZ,000977,20250818,A,1,0,0,18.221223797404544,13.720263950416456,52.66515088466579,1,0,0,61.04,0.025,高成熟成本停滞
002439.SZ,002439,20250818,A,1,0,0,20.0,8.95270965371241,15.204897487830028,1,0,0,16.7,0.025,滞败
002472.SZ,002472,20250818,A,1,0,0,19.24046090939612,12.993451725364435,32.13151827782291,1,0,0,36.93,0.025,高成熟成本停滞
002777.SZ,002777,20250818,A,1,0,0,20.0,8.680976867422885,18.565157402852925,1,0,0,20.33,0.025,滞败
300182.SZ,300182,20250818,A,1,0,0,16.046287367405956,15.579927884615408,5.267812499999999,1,0,0,6.24,0.025,趋势破坏
300543.SZ,300543,20250818,A,1,0,0,20.0,9.68148148148148,11.380133333333333,1,0,0,12.6,0.025,高成熟成本停滞
300735.SZ,300735,20250818,A,1,0,0,18.12193677810475,13.795434950532137,24.688987430167597,1,0,0,28.64,0.025,趋势破坏
000536.SZ,000536,20250819,B,0,1,0,20.0,7.229249011857696,4.6942,2,0,0,5.06,0.025,证明后结构回吐
002793.SZ,002793,20250819,A,1,0,0,13.752944055169108,18.177926049661806,4.852048985255054,1,0,0,5.93,0.025,滞败
300504.SZ,300504,20250819,A,1,0,0,20.0,8.946353224834247,15.105799999999999,1,0,0,16.59,0.025,滞败
603131.SH,603131,20250819,B,0,1,0,20.0,6.78164251207728,19.296200000000002,2,0,0,20.7,0.025,证明后结构回吐
000988.SZ,000988,20250820,A,1,0,0,18.438485359860522,13.558597418431939,47.27480307185957,1,0,0,54.69,0.025,高成熟成本停滞
002190.SZ,002190,20250820,B,0,1,0,18.52328273732956,13.496527777777779,34.8782,2,0,0,40.32,0.025,证明后结构回吐
300136.SZ,300136,20250820,A,1,0,0,16.199233556275523,15.432828913263673,22.968443667157587,1,0,0,27.16,0.025,滞败
300343.SZ,300343,20250820,A,1,0,0,19.006058599806135,13.153700368078947,4.90681592920354,1,0,0,5.65,0.025,滞败
603920.SH,603920,20250820,B,0,1,0,20.0,7.769291964996028,34.7802,2,0,0,37.71,0.025,证明后结构回吐
300757.SZ,300757,20250821,B,0,1,0,20.0,9.8984800150122,192.0604,2,0,0,213.16,0.025,证明后结构回吐
301558.SZ,301558,20250821,C,0,0,1,14.171471080528178,10.584645669291337,9.0846,3,1,1,10.16,0.015,横盘结构失效
300346.SZ,300346,20250822,A,1,0,0,19.54986840863316,12.787809860121657,30.9690487186708,1,0,0,35.51,0.025,高成熟成本停滞
300450.SZ,300450,20250822,A,1,0,0,15.71478463557567,15.908585818862663,24.285600415512462,1,0,0,28.88,0.025,高成熟成本停滞
301085.SZ,301085,20250822,A,1,0,0,17.845262291912377,14.009320564220683,58.43926574455562,1,0,0,67.96,0.025,滞败
601099.SH,601099,20250822,A,1,0,0,20.0,10.948651158929234,3.9093542141230064,1,0,0,4.39,0.025,高成熟成本停滞
001306.SZ,001306,20250825,B,0,1,0,20.0,7.195180722891569,96.285,2,0,0,103.75,0.025,首回踩失效
002460.SZ,002460,20250825,B,0,1,0,20.0,5.879948914431676,36.848,2,0,0,39.15,0.025,证明后结构回吐
300133.SZ,300133,20250825,B,0,1,0,20.0,6.697881828316621,8.3692,2,0,0,8.97,0.025,首回踩失效
600199.SH,600199,20250825,A,1,0,0,20.0,8.9858297831938,10.539440911106158,1,0,0,11.58,0.025,滞败
601061.SH,601061,20250825,A,1,0,0,20.0,9.663229902939797,7.787029582366589,1,0,0,8.62,0.025,高成熟成本停滞
601162.SH,601162,20250825,B,0,1,0,20.0,6.891566265060245,5.409599999999999,2,0,0,5.81,0.025,滞败
000665.SZ,000665,20250826,A,1,0,0,15.271577148985521,16.37028039481877,5.235220447284345,1,0,0,6.26,0.025,滞败
002947.SZ,002947,20250826,C,0,0,1,11.53486762415643,13.004050405040502,38.661,3,1,1,44.44,0.015,MA20破坏
301155.SZ,301155,20250826,A,1,0,0,20.0,11.720697606097087,69.29042444897439,1,0,0,78.49,0.025,趋势破坏
301312.SZ,301312,20250826,C,0,0,1,9.39764705882353,15.961442163244865,33.565,3,1,1,39.94,0.015,高成熟成本停滞
600577.SH,600577,20250826,A,1,0,0,20.0,12.176820964361601,7.737222073039743,1,0,0,8.81,0.025,高成熟成本停滞
000555.SZ,000555,20250829,A,1,0,0,20.0,11.997323523430248,13.411607895029231,1,0,0,15.24,0.025,滞败
302132.SZ,302132,20250829,A,1,0,0,12.73870535819625,19.625228229267954,81.42768128092864,1,0,0,101.31,0.025,滞败
002654.SZ,002654,20250901,A,1,0,0,14.811598130577645,16.878664800112976,11.620362660944206,1,0,0,13.98,0.025,高成熟成本停滞
300260.SZ,300260,20250902,A,1,0,0,10.268716759325077,24.345787877825497,30.935007336757156,1,0,0,40.89,0.025,高成熟成本停滞
600157.SH,600157,20251009,A,1,0,0,13.192732584679998,18.94982698961938,1.3778529411764706,1,0,0,1.7,0.025,滞败
002112.SZ,002112,20251110,A,1,0,0,12.36526349049671,20.217927437788674,13.148085558252427,1,0,0,16.48,0.025,滞败
000777.SZ,000777,20260105,A,1,0,0,16.90463956808194,14.788839418500888,22.359408536585367,1,0,0,26.24,0.025,高成熟成本停滞
002899.SZ,002899,20260107,A,1,0,0,13.64073230377876,18.32746178375958,23.39918219895288,1,0,0,28.65,0.025,高成熟成本停滞
002970.SZ,002970,20260112,A,1,0,0,13.573510455704458,18.418227238697416,45.579736441739755,1,0,0,55.87,0.025,高成熟成本停滞
600487.SH,600487,20260112,A,1,0,0,17.130051357794954,14.594235287347146,21.334360025220683,1,0,0,24.98,0.025,高成熟成本停滞
603861.SH,603861,20260114,C,0,0,1,13.020833333333337,11.519999999999996,12.3872,3,1,1,14.0,0.015,MA20破坏
301150.SZ,301150,20260115,C,0,0,1,14.58788366478904,10.282505910165495,30.3604,3,1,1,33.84,0.015,横盘结构失效
603588.SH,603588,20260116,A,1,0,0,18.885389050550565,13.237746880978962,7.773897879464286,1,0,0,8.96,0.025,高成熟成本停滞
002008.SZ,002008,20260122,A,1,0,0,12.3251949293836,20.283654857579027,40.9582581341759,1,0,0,51.38,0.025,趋势破坏
002919.SZ,002919,20260122,B,0,1,0,20.0,10.139292364990693,24.1276,2,0,0,26.85,0.025,首回踩失效
002428.SZ,002428,20260123,B,0,1,0,15.720357454228425,15.902946273830153,33.9668,2,0,0,40.39,0.025,证明后结构回吐
002331.SZ,002331,20260126,B,0,1,0,20.0,8.632983794089622,9.584399999999999,2,0,0,10.49,0.025,首回踩失效
600259.SH,600259,20260126,B,0,1,0,13.122637521137953,19.05104820561414,68.34519999999999,2,0,0,84.43,0.025,证明后结构回吐
002225.SZ,002225,20260128,A,1,0,0,15.967491952741941,15.65681077152946,5.760639824304538,1,0,0,6.83,0.025,滞败
